FID	X	Y	ID	Sample_num	Elevation	Longitude	Latitude	Rock_Type	Soil_Colou	Other_deta	pH	LOI	Li	Be	V	Cr	Co	Ni	Cu	Ga	As_	Se	Rb	Sr	Y_1	Zr	Nb	Mo	Ag	Cd	Sn	Sb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Tb	Gd	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	W	Tl	Bi	Th	U	Na	Mg	Al	P	K	Ca	Ti	Mn	Fe	Zn	Pb	Elevation	slope	Apspect
20	9.91768	5.94584	21	21	1342	9.91768	5.94584	Granitic	Dark-brown	"Slope of a hill, Forested area"	3.94	10.71	26.8	1.42	61	24	7.74	18.7	26.5	36.4	2.49	0.65	198	97	18.3	160	27.2	1.92	0.38	0.097	7.8	0.43	9.85	741	57.8	155	13.8	48.4	9.37	1.77	0.778	5.9	4.34	0.779	2.51	0.35	2.59	0.398	5.21	2.6	1.73	1.06	0.91	78.8	14.1	2558	2981	139277	401	37648	1410	4049	187	30646	93	56	1346	16.29537582	98.80679321
21	9.95684	5.94577	22	22	1488	9.95684	5.94577	Granitic	Dark-brown	"Forest vegetation, farmland (cocoyam), swampy area"	4.31	19.51	16.7	1.28	112	60	8.58	28.7	14.3	36.7	2.76	1.11	46	72	21.8	190	51.5	4.47	0.06	0.079	9.3	0.21	5.13	234	86.9	203	21.1	73.4	14.9	2.72	1.54	10.9	8.23	1.26	3.26	0.383	2.29	0.29	5.4	4.05	3.24	0.34	0.31	63.9	9.7	431	1926	142199	1071	7247	547	7905	370	49628	51	53	1499	5.391352177	352.5686035
22	9.9956	5.94508	23	23	1349	9.9956	5.94508	granitic	dark brown	 	3.97	16.52	48.2	2.12	106	52	17	26.4	20.7	33.9	1.31	0.7	141	102	40.3	76	27.3	1.78	0.04	0.025	6	0.12	8.85	817	92.3	202	22.6	79.7	14.9	3.23	1.5	11	8.88	1.6	5.15	0.698	4.82	0.75	2.43	2.06	0.71	0.84	0.22	45.6	4.65	1643	7920	145500	773	26607	1486	6364	478	52553	79	46	1355	12.13353062	60.52410889
23	10.03443	5.94583	24	24	1323	10.03443	5.94583	granitic	Greyish	 	4.17	25.16	5.6	0.99	354	416	15.8	88.5	37.6	32.8	2.35	1.08	8	240	38.8	501	126	4.02	0.09	0.122	4.6	0.32	0.88	384	121	249	30.3	113	21.6	6.68	2.25	17.1	11.9	1.87	4.88	0.537	3.28	0.497	11.5	7.52	1.83	0.13	0.13	17.6	3.62	202	1883	129061	2416	1163	379	31469	654	151275	77	17	1324	4.12387228	196.3895416
24	10.07334	5.9459	25	25	1282	10.07334	5.9459	granitic	Dark-brown	 	3.97	12.27	13.4	1.9	70	34	6.19	18.8	27.8	37.6	0.94	0.58	43	30	8.1	164	23	1.64	0.04	0.025	5.4	0.09	2.6	158	51.3	283	10.4	33.4	5.79	1.15	0.448	3.55	2.42	0.406	1.15	0.156	1.09	0.17	4.71	1.37	1.58	0.36	1.05	43.2	6.8	354	1186	174352	597	6586	395	5012	171	45021	50	68	1283	14.81570625	89.11859894
25	10.11208	5.94583	26	26	1242	10.11208	5.94583	No observable outcrop	Dark	"Slope, Cassava farm, no exposed outcrop, gravelly top soil"	4.35	20.75	25.2	0.98	149	66	14.8	36.8	47.5	33.5	1.88	1.01	39	34	21.9	98	26.4	2.01	0.06	0.07	6.8	0.21	3.71	240	55.5	143	13.8	49.6	9.88	2.54	0.985	7.26	5.77	1.01	3.02	0.389	2.64	0.393	2.98	1.64	2.59	0.29	0.34	13.5	3.2	319	2543	143265	1323	5888	815	7804	474	72309	62	32	1239	4.12387228	16.38953972
26	10.15078	5.9458	27	27	1272	10.15078	5.9458	"granitic, rhyolites"	Reddish brown	"Farmland (cocoyams, sugar cane, plantains and other fruits, sound in settlement area. N/B; found on a foundation, with rhyolitic materials overlying the country rock, granitic"	5.2	14.21	26.2	2.45	105	67	10.7	40.2	26.7	58	5.95	1.02	39	39	120	1450	343	5.98	0.34	0.244	19.3	0.8	4.12	203	97.6	434	28.6	107	26.5	2.17	3.94	23.7	25.7	4.8	15	1.98	12.9	1.861	38.8	21.3	4.96	0.39	0.31	60	10.5	608	2241	141887	1413	4354	3541	9146	402	74778	182	74	1262	6.316008568	287.1027222
27	10.1897	5.94584	28	28	1543	10.1897	5.94584	Basaltic	Reddish brown	"Slope, Abandoned maize farm"	3.97	9.93	5.8	7.63	484	12	62.2	25.7	25.5	30.5	3.91	0.47	12	96	51.4	426	87.8	3.89	0.07	0.082	3.6	0.16	1.65	484	74.5	155	20.6	80.5	16.3	6.82	1.9	14.6	10.9	1.92	5.73	0.665	4.1	0.675	9.78	5.41	1.25	0.2	0.04	8.28	1.57	146	3666	120632	2178	1302	573	53810	1693	153892	119	7	1549	15.82064056	327.9074097
28	10.22619	5.94895	29	29	180	10.22619	5.94895	granitic	DARK SOIL MEDIUM TO FINE GRAINS	 	4.71	11.68	13.4	1.45	85	61	13.5	39.9	38.2	39.3	3.76	1.07	62	37	61.4	1011	207	7.09	0.18	0.185	8	0.43	3.04	308	86.1	323	18	64.1	13.3	3.83	2.01	12.7	12.9	2.42	7.33	0.954	6.3	0.983	21.2	11.8	2.5	0.34	0.19	24.4	4.83	3795	2084	107549	1963	7931	1687	9238	3660	93680	219	25	1824	10.88592529	6.072455883
29	10.26743	5.94579	30	30	1888	10.26743	5.94579	granitic	Redish brown	"Farm land,  with gentle slope"	4.35	19.52	13.3	2.15	275	206	41	103	59.4	39.9	5.78	1.3	29	49	54.9	694	160	5.4	0.18	0.181	6.4	0.45	3.43	303	102	331	23.2	84.2	17	4.79	1.95	14	11.6	2.09	6.18	0.761	4.93	0.746	15.7	9.38	2.51	0.35	0.22	24.4	5.14	843	2845	146326	2597	3421	601	23638	2358	154677	134	24	1888	11.74713326	300.5792236
