FID	X	Y	ID	Sample_num	Elevation	Longitude	Latitude	Rock_Type	Soil_Colou	Other_deta	pH	LOI	Li	Be	V	Cr	Co	Ni	Cu	Ga	As_	Se	Rb	Sr	Y_1	Zr	Nb	Mo	Ag	Cd	Sn	Sb	Cs	Ba	La	Ce	Pr	Nd	Sm	Eu	Tb	Gd	Dy	Ho	Er	Tm	Yb	Lu	Hf	Ta	W	Tl	Bi	Th	U	Na	Mg	Al	P	K	Ca	Ti	Mn	Fe	Zn	Pb	Elevation	slope	Apspect
99	9.87908	6.17322	104	105	1427	9.87908	6.17322	Granitic	Dark-brown	Farmland (cocoyams)	4.32	18.87	81.6	2.16	149	56	24.2	33.6	29.7	32.2	2.64	1.17	112	124	34.8	88	17.5	2.6	0.05	0.093	4	0.39	12.4	786	107	217	25.7	98.9	18.2	3.63	1.52	11.1	8.28	1.51	4.33	0.618	3.82	0.566	2.64	1.2	7.27	0.79	0.87	33.9	7.31	1590	10871	149320	1325	20754	2574	6871	674	60232	90	36	1436	25.84709167	311.5935669
100	9.91801	6.17318	105	106	1643	9.91801	6.17318	Granitic	Dark	"Slope, grass field"	4.3	19.85	39.4	1.58	84	47	9.91	25.8	18.5	33.5	1.31	1	109	258	19.5	150	23.4	2.26	0.05	0.052	6.4	0.31	7.89	1124	138	314	28.8	105	16.7	3.09	1.05	8.64	5.09	0.821	2.16	0.277	1.74	0.238	4.02	1.94	2.81	0.64	0.46	48.6	7.9	1205	4434	137118	1040	23317	1269	5867	345	37372	79	48	1396	29.13689423	353.2901611
101	9.96183	6.17018	106	107	1511	9.96183	6.17018	Granitic	Dark	"Hill slope, grazed land, sample collected 600m away due to inaccessibility"	0	20.51	26.5	1.51	96	44	9.58	24.1	20.7	33	2.45	1.02	67	83	16.8	153	27.1	5.06	0.06	0.057	4.5	0.24	6.19	352	105	255	22.2	76.6	12.4	2.26	0.854	6.41	4.56	0.781	2.15	0.307	2	0.288	4.23	2.48	3.02	0.4	0.88	46.9	8.28	487	3168	155247	1351	10131	1368	5857	354	46674	63	52	1071	9.304807663	296.5650635
102	9.99686	6.17206	107	108	1564	9.99686	6.17206	Granitic	Dark-brown	"Slope of a hill, grazing land"	4.13	13.77	23.1	2.19	113	41	12.9	25.1	20.2	32.7	0.93	0.87	67	84	18.3	171	28.8	3.06	0.07	0.044	4.8	0.21	6.98	374	97.3	290	22.3	85.2	15.3	3	0.926	6.96	4.97	1.06	2.83	0.423	2.28	0.402	5.46	2.56	3.32	0.68	0.44	59.2	9.24	524	2904	160635	626	10980	234	6718	150	55741	63	58	1561	32.19587708	319.7201233
103	10.03031	6.17295	108	109	1322	10.03031	6.17295	No observable outcrop	Dark-brown	"New farmland, grassfield with shrubs, no visible outcrop"	4.23	16.82	21.1	1.66	127	64	11.4	43.2	27.4	33.3	-0.42	0.74	42	132	22.5	203	33.3	2.77	0.04	0.035	7.1	0.12	4.09	346	197	425	44.4	165	27.4	5.18	1.57	12.5	7.61	1.41	3.39	0.44	2.21	0.358	6.14	2.85	2.48	0.43	0.58	68.7	10.9	347	2872	154236	1402	5892	1098	10004	244	59083	65	57	1321	3.0381639	94.39870453
104	10.0733	6.1732	109	110	583	10.0733	6.1732	Granitic	Dark	"Farmland (Cassava, maize, palms), close to settlement"	4.6	6.64	19.3	3.02	95	44	21.1	22.1	21.4	22.5	0.14	0.48	193	164	19.7	77	29.7	1.21	0.06	0.116	4.3	0.11	5.89	1126	69.9	167	14.6	53.1	8.83	1.7	0.72	5.21	3.92	0.831	2.37	0.31	1.68	0.275	2.28	1.88	0.8	1.16	0.16	38.1	3.43	7963	5470	102093	711	35238	5138	7521	1514	46598	79	34	586	6.112171173	98.74616241
105	10.11206	6.17215	110	111	1018	10.11206	6.17215	Granitic	Dark	"hill of a slope, forested area"	5.38	8.57	10.7	2	64	47	15.4	22.1	24.3	17.9	0.51	0.41	159	184	11.1	126	40.4	1.66	0.06	0.09	2.6	0.2	3.06	1123	56.4	152	10.8	39	6.49	1.33	0.493	3.53	2.56	0.504	1.38	0.185	1.05	0.164	3.63	2.67	1.12	0.87	0.11	23.4	4.87	4811	2878	85823	813	39486	5606	8750	1134	30659	76	31	965	31.40853882	36.86989594
106	10.15053	6.18652	111	112	675	10.15053	6.18652	granitic	DARK BROWN FINE TO MEDIUM GRAIN SOIL	 	4.21	9.56	13.1	2.41	117	38	27.5	19.1	36.6	24.2	0.25	0.5	152	104	17.3	132	22.3	1.28	0.06	0.097	2	0.07	6.54	1758	56.8	109	12.7	49.5	8.61	4.41	0.728	5.26	3.94	0.8	2.13	0.283	1.57	0.265	3.76	1.44	0.45	0.88	0.12	12.3	6.28	855	4087	121846	1159	30335	2281	13433	1561	74063	80	25	1058	33.57852554	91.75698853
107	10.23054	6.17655	113	114	1002	10.23054	6.17655	granitic	Dark-brown	 	3.87	7.86	9.3	2.41	87	38	7.84	19.9	28.9	29.2	0.21	0.67	168	127	29.8	146	26.4	1.5	0.07	0.029	5.6	0.1	4.96	683	114	279	26	96.2	16.2	2.94	1.15	8.53	6.31	1.29	3.7	0.532	3.16	0.515	4.38	2.49	1.26	1.25	0.59	65.1	7.68	704	2475	135471	422	29301	308	5770	97	48105	52	41	987	8.111982346	358.3634338
108	10.26734	6.17318	114	115	665	10.26734	6.17318	granitic	Dark-brown	 	4.46	13.86	18.4	2	206	35	35.2	29.3	23.4	29.5	1.03	0.86	31	154	62.5	585	105	3.39	0.15	0.127	4.7	0.18	1.87	481	117	263	29.2	121	24	5.67	2.34	16.4	13	2.8	7.51	0.979	5.06	0.824	14.7	6.22	1.31	0.29	0.1	15.2	3.07	648	4108	126770	2737	3460	1259	24903	2040	110150	130	17	1332	9.2482481	126.8698959
109	9.83683	6.20676	115	116	670	9.83683	6.20676	Granitic	Dark	"Flood plain, Forest vegetation, taken 513m from central point"	4.61	11.64	40.7	3.78	104	38	12.5	17.6	24.7	22.8	2.32	0.39	138	242	18.4	100	20.4	1.16	0.08	0.125	3.9	0.32	9.34	950	46.5	104	10.6	40.6	7.69	1.62	0.679	4.77	3.81	0.812	2.29	0.333	1.81	0.297	3.2	1.58	1.45	0.89	0.48	25.9	5.52	4570	6023	106386	797	27514	6556	5946	910	48895	71	34	667	9.702727318	180
110	9.87913	6.21106	116	117	786	9.87913	6.21106	Granitic	Dark	"Collected at the base of a slope, forest vegetation, coffee farm 20m away from sampling point"	4.35	10.16	17.9	1.58	122	35	8.28	17.8	43.8	26.4	1.7	0.52	42	54	9.42	141	27.4	1.92	0.04	0.058	4.5	0.36	4.39	210	43	128	8.82	32.5	5.75	1.15	0.434	3.14	2.42	0.494	1.34	0.189	1.16	0.186	4.21	1.9	1.22	0.4	0.3	27.3	6.62	386	1514	124180	680	6759	1511	7706	501	55053	65	34	1179	24.40713882	279.2933044
111	9.91802	6.21105	117	118	1112	9.91802	6.21105	Granitic	Dark	"Forest vegetation, closed to a river bank"	4.81	25.35	11	1.61	264	402	19.7	139	48.3	26.5	1.93	0.86	16	86	43.6	375	79.5	3.76	0.11	0.098	4.3	0.23	2.05	178	88	204	20.9	85.4	17.3	4.33	1.73	12	9.87	2.08	5.71	0.752	4.08	0.679	9.22	4.68	1.6	0.24	0.25	19.8	3.66	259	2136	121805	1519	2115	2219	18808	813	104165	48	20	852	17.33967781	219.7099152
112	9.95684	6.21107	118	119	1114	9.95684	6.21107	Granitic	Dark	Slope	4.71	14.22	58.8	1.98	139	90	14	47.2	41.1	31.1	1	0.79	78	114	42	60	28.5	3.45	0.05	0.032	6.2	0.23	8.42	438	108	256	28.4	115	21.8	3.98	1.81	13.3	10.1	2.01	5.52	0.748	4.22	0.651	2.16	2.18	3.48	0.6	0.77	35.3	10.9	512	4139	137210	836	11342	1044	7603	444	63678	70	40	977	38.33875656	229.1747742
113	9.99568	6.21104	119	120	1431	9.99568	6.21104	Granitic	Dark-brown	"Hill slope, abandoned farmland"	3.96	14.59	274	4.29	28	21	3.47	13.4	9.9	50	1.37	0.55	192	23	10.6	101	67.2	1.44	0.05	0.02	35.1	0.15	29	80	36.6	79.7	8.79	32.1	6.95	0.626	0.551	3.75	2.75	0.499	1.42	0.218	1.48	0.233	4.61	10.2	2.83	1.27	2.52	24.2	12.6	412	1357	155429	391	12362	585	2047	223	22165	61	41	1688	1.922734976	255.9637604
114	10.0345	6.21102	120	121	1602	10.0345	6.21102	Granitic	Dark-brown	"Hill slope, forest vegetation"	3.9	9.73	12.9	1.9	97	34	12	19.7	27.9	25.4	0.33	0.42	147	75	14.9	39	11.7	1.09	0.07	0.078	4.7	0.09	5.33	695	71.5	141	14.4	51.9	8.63	1.53	0.691	5.09	3.5	0.675	1.75	0.223	1.17	0.175	1.15	0.797	0.71	0.98	0.4	19.2	1.64	720	2336	110654	550	24687	891	4722	514	42473	71	27	950	26.59962463	359.5341797
115	10.07329	6.21105	121	122	644	10.07329	6.21105	Granitic	Dark	"Hill slope, grassland"	3.84	9.06	10	2.37	83	39	8.51	16.8	21	25.5	0.77	0.65	134	54	19.1	80	29.5	2.65	0.08	0.031	4.8	0.16	5.46	472	73.6	171	16.5	61.4	12	2.06	0.995	7.06	5.13	0.947	2.42	0.306	1.65	0.251	2.18	1.57	1.5	0.89	0.21	24.1	1.93	504	2199	108824	574	22358	459	6394	244	46125	58	29	630	20.16358566	86.18592834
116	10.11207	6.21108	122	123	1211	10.11207	6.21108	Granitic	Greyish	"Hill slope, grassland"	4.07	11.34	12	1.45	92	55	6.47	21.9	19.5	21.1	1.52	0.59	132	46	16.1	84	28.2	3.16	0.05	0.036	4	0.24	5.03	306	58.1	134	12.5	46.7	8.52	1.52	0.699	5.18	3.51	0.648	1.8	0.222	1.25	0.183	2.2	1.6	1.68	0.77	0.35	17.8	1.99	359	2647	91429	576	19178	1621	5684	296	39545	49	22	663	13.2165966	303.6900635
117	10.15102	6.21162	123	124	608	10.15102	6.21162	granitic	"DARK VERY FINE GRAIN SOIL, GRANITIC OUTCROPS ABOUT 200 METERS AWAY. SUB SOIL IS SANDY"	 	4.9	14.75	35.1	3.49	77	42	13.2	22	32.8	23.4	0.19	0.36	193	242	21.6	177	27	1.28	0.1	0.261	5.5	0.11	6.4	915	72.4	132	14.9	54	9.17	1.78	0.789	5.53	4.35	0.892	2.49	0.366	2.07	0.331	5.04	2.02	0.75	1.17	0.2	44.9	6.17	9402	7618	95357	1684	28367	8621	6175	1056	39818	115	33	603	9.294291496	174.2894135
118	10.19305	6.22004	124	125	665	10.19305	6.22004	No observable outcrop	Dark brown	 	5.35	14.48	20	2.34	123	69	24.7	34.9	42.7	23.6	1.07	0.6	151	275	17.6	158	30	3.88	0.11	0.18	3.9	0.13	3.66	1131	54.6	126	11.1	40.1	7.01	1.5	0.605	4.36	3.64	0.754	2.21	0.31	1.83	0.293	4.63	2.23	1.32	0.92	0.23	26.6	9.59	3625	4391	111750	1522	29606	7482	8947	1099	49841	80	40	672	8.569215775	321.5819397
119	10.2286	6.21107	125	126	766	10.2286	6.21107	granitic	DARK BROWN SOIL	 	4.25	10.31	11.2	1.53	102	55	12.8	25.5	25.9	25.9	0.51	0.63	131	190	19.6	162	29.5	1.81	0.06	0.055	4.1	0.09	3.3	982	121	246	22	76.2	11.6	2.55	0.85	6.2	4.36	0.887	2.28	0.31	1.7	0.293	4.46	1.87	0.79	0.82	0.26	36.7	4.13	1029	3038	124646	781	30458	1450	9596	494	48918	64	41	766	3.965817213	3.366459847
120	10.26608	6.20793	126	127	1130	10.26608	6.20793	granitic	"GRANITIC AND PEGMATITIC OUT CROPS NEARBY, DARK SOIL"	 	4.24	19.35	82.6	2.41	90	70	13.5	36.5	33.9	27.2	1.04	0.77	132	48	19.3	92	25.2	1.59	0.05	0.037	14.2	0.13	20.7	398	54.6	138	13	49.9	9.66	1.67	0.876	6.29	4.59	0.848	2.27	0.291	1.74	0.251	2.75	2.42	1.03	1.03	0.41	22.3	5.21	791	5501	123019	741	19598	1255	5381	567	50665	63	43	1121	24.46416664	353.3200989
121	9.84813	6.24735	127	128	626	9.84813	6.24735	granitic	MEDIUM TO FINE GRAINED REDDISH BROWN  SOIL WITH GRANITIC AND PEGMATITIC FLOODS	 	4.2	6.31	19.9	1.33	94	38	6	17.6	33.7	24.1	4.31	0.4	131	135	16.8	106	26.6	1.65	0.04	0.026	3.9	0.49	6.79	957	41.5	104	9.6	37.1	6.8	1.57	0.609	4.33	3.69	0.753	2.21	0.311	1.88	0.297	3.32	2.33	1.15	0.83	1.17	31.1	5.17	1498	1795	119462	285	37277	638	7206	345	49426	39	40	611	3.755988121	299.744873
122	9.87968	6.24601	128	129	987	9.87968	6.24601	granitic	"DARK GREY, MEDIUM TO FINE GRAIN SOIL AROUND GRANITIC OUTCROP"	 	4.28	7.28	27.1	1.77	35	15	4.07	8.73	32.7	28.3	0.77	0.36	167	67	19.8	48	16.7	1.43	0.04	0.02	3	0.21	7.13	625	78	147	15.3	53.9	8.66	1.49	0.756	5.4	4.12	0.802	2.25	0.295	1.8	0.273	1.56	1.15	0.88	0.94	0.44	25.6	4.01	1650	1948	147501	356	41448	1021	2507	297	23216	46	39	982	16.98147392	222.8389282
123	9.9257	6.25145	129	130	668	9.9257	6.25145	No observable outcrop	MEDIUM TO FINE GRAINED REDDISH BROWN SOIL	 	4.16	12.78	12.5	0.97	282	288	37.3	193	68.8	31	3.3	0.75	17	137	33.3	424	104	3.19	0.1	0.096	4	0.3	2.11	203	113	239	25.4	100	18.7	4.98	1.7	12.3	8.77	1.69	4.12	0.497	2.64	0.389	10.5	6.17	1.58	0.27	0.2	19.6	4.06	152	3488	137520	1427	1938	348	26407	1150	147098	94	20	663	3.03865242	32.47119141
124	9.95557	6.24879	130	131	632	9.95557	6.24879	No observable outcrop	REDDISH BROWN MEDIUM TO FINE GRAIN SOIL CLOSE TO RIVER COURSE	 	4.11	12.28	29.5	2.3	145	86	18.2	54.1	41.6	33.2	2.74	0.8	90	86	21.1	132	40	2.97	0.13	0.038	4.6	0.29	8.32	651	56.1	161	12.7	46.1	8.88	1.84	0.902	6.13	5.09	0.839	2.21	0.335	2.13	0.301	3.75	2.79	1.92	0.54	0.35	21.4	5.85	1105	2294	137809	949	18402	616	10201	771	68782	74	37	784	10.76314068	226.7357025
125	9.99543	6.24854	131	132	905	9.99543	6.24854	Granitic	Dark	"Valley, farmland (plantains)"	4.88	11.38	39.7	3.7	121	61	11.9	27.8	19.6	34.8	1.68	0.54	162	221	17	164	31.3	2.69	0.07	0.099	4.8	0.33	14.4	1270	78.2	161	16.1	56.1	9.22	2.02	0.731	5.7	4.04	0.667	1.72	0.243	1.59	0.23	4.73	2.63	4.17	0.8	0.61	32.6	9.69	2443	5676	141350	1286	30000	3129	8525	827	50727	85	46	948	16.48618889	7.907162189
126	10.03442	6.24895	132	133	627	10.03442	6.24895	No observable outcrop	Dark	"Base of a slope, farmland (palms, mango) from settlement. No visible outcrop"	4.39	8.87	47.6	2.97	82	38	7.47	17	29.9	28.6	2.01	0.69	154	94	23.7	156	70.1	4.37	0.06	0.033	5.3	0.31	7.43	466	81.7	174	17.8	63	11.1	1.93	1.04	7.69	5.51	0.912	2.27	0.306	1.9	0.262	4.04	4.92	1.55	0.77	0.15	32.8	5.6	845	2715	123440	859	21305	1614	8254	192	47153	55	35	630	8.420442581	148.4957275
127	10.07326	6.24884	133	134	1320	10.07326	6.24884	Granitic	Dark	"hill slope, farmland (palms)"	4.38	10.38	55.8	3.08	107	63	11.3	29.1	20.9	26.7	1.45	0.44	189	111	15.7	141	77	2.67	0.06	0.081	5.6	0.33	10.4	652	54.6	112	11.7	42.5	7.39	1.36	0.687	5.01	3.66	0.6	1.6	0.22	1.47	0.197	3.98	5.53	1.92	0.9	0.19	22.3	5.23	1245	3199	107487	768	27955	1815	11249	503	43483	76	33	819	31.60064316	193.3925018
128	10.11086	6.24766	134	135	922	10.11086	6.24766	"Granitic, schist"	Dark	"hill slope, farmland (okra, plantains, pineapple). Schist overlying granitic rocks"	5.55	15.81	25.3	5.59	100	26	15.2	14	35.7	32.3	0.98	0.42	214	241	23.7	93	17.7	1.06	0.06	0.102	5.1	0.16	7.4	1038	64.4	174	12.5	44.2	7.69	1.35	0.81	5.56	4.68	0.836	2.37	0.353	2.29	0.323	2.89	1.06	0.84	1.09	0.24	60.6	3.75	5118	6708	132543	661	33802	8310	4595	1092	42559	94	41	910	22.96588516	8.285796165
129	10.15221	6.24558	135	136	1292	10.15221	6.24558	Granitic	Dark-grey	"Hill, Grassland"	4.01	14.36	43.8	2.23	117	72	12.9	38.2	21.7	49.6	2.94	1.28	171	174	19.9	300	39.2	3.47	0.1	0.052	9	0.27	6.7	792	118	356	24.2	84.1	14	2.58	1.08	7.86	5.62	0.909	2.4	0.358	2.41	0.354	9.13	3.26	0.95	1.09	0.33	72.9	13.3	1164	4112	176287	1018	26849	611	9156	247	60244	81	71	1285	10.20227051	307.6476135
130	10.18932	6.24861	136	137	1014	10.18932	6.24861	granitic	Greyish	"Hill, Grassland"	4.01	13.46	42.3	2.39	113	69	12.6	37	15.2	46.7	2.98	1.16	160	161	19.4	264	36.7	3.22	0.1	0.056	8.4	0.22	6.25	736	114	351	23.5	81.3	13.7	2.5	1.02	7.74	5.54	0.875	2.35	0.34	2.31	0.341	7.9	3.09	0.92	1	0.3	68.1	12.5	1045	3892	172613	947	24257	430	8637	226	58060	79	68	1330	30.81630898	171.7592926
131	10.22418	6.25138	137	138	1350	10.22418	6.25138	No observable outcrop	"SWAMP, CLOSE TO SAND PIT GRANITIC TERRAIN"	 	4.53	25.47	28.1	2.97	161	99	27	56.2	25.8	35.1	3.7	1.43	73	71	26.2	315	64.1	3.1	0.13	0.143	5.2	0.26	4.61	341	58.7	198	15.9	60.7	12.1	2.8	1.24	8.48	6.93	1.18	3.14	0.458	2.99	0.421	8.25	4.13	1.42	0.51	0.31	23.8	5.55	861	4020	138518	1880	12172	1629	15386	938	88411	104	36	1342	0.989594042	45
132	10.26734	6.24862	138	139	1592	10.26734	6.24862	granitic	"CLOSE TO MOTORABLE EARTH ROAD, DARK SOIL, VERY GENTLE DLOPE, FINE TO MEDIUM GRAIN"	 	4.4	23.48	15.9	1.68	165	98	25.9	52.6	27.2	34.4	3.99	1.8	17	101	46.1	655	110	4.06	0.15	0.13	5.1	0.34	1.8	256	118	293	31.5	120	23.4	7	2.64	18.8	14.8	2.36	5.73	0.78	4.83	0.636	15.4	6.8	1.81	0.25	0.16	15.7	3.79	391	3196	144351	2273	2456	488	21285	971	141277	105	20	1600	11.92351055	70.8663559
133	9.84188	6.28199	139	141	585	9.84188	6.28199	No observable outcrop	MEDIUM TO FINE DARK GREY SOIL	 	4.83	8.04	38.9	2.01	57	24	5.39	14.3	12.4	35.9	1.98	0.42	227	186	11.4	98	17.6	1.17	0.05	0.032	4.5	0.21	12	1176	50.7	131	10	35.1	5.31	1.17	0.458	3.31	2.46	0.433	1.17	0.172	1.21	0.193	3.16	1.24	0.64	1.15	0.26	32.9	4.24	1929	2192	147856	628	50655	1842	4469	413	35626	56	56	573	23.57126617	292.49646
134	9.88032	6.28472	140	142	206	9.88032	6.28472	granitic	"GRANITIC AND PEGMATITIC OUT CROPS NEARBY,FINE TO MEDIUM GRAIN DARK SOIL"	 	5.51	10.29	41	1.79	53	23	5.32	13	39.4	29.3	3.04	0.45	164	270	17.2	85	23	1.78	0.03	0.055	4	0.35	8.43	950	42.7	126	9.46	36.1	6.95	1.32	0.671	4.8	3.79	0.671	1.85	0.289	1.91	0.282	2.71	2.01	0.81	0.88	0.35	24	4.8	1503	1828	137041	627	39922	3629	5025	381	36590	48	45	857	42.31629944	26.56505013
135	9.91979	6.28697	141	143	545	9.91979	6.28697	granitic	"BESIDE RIVER COURSE, MEDIUM TO FINE GRAINED SOIL"	 	5.28	12.15	18.4	3.41	177	184	63.7	129	42.4	32.3	4.25	0.71	80	60	28.9	254	133	5.38	0.09	0.212	5.6	0.27	2.87	474	91	258	18.8	65.7	11.4	2.53	1.21	8.66	6.7	1.09	2.76	0.366	2.29	0.306	6.11	8.23	1.91	0.55	0.12	15.1	3.49	1375	2637	117437	1430	12001	2226	16478	3220	105053	130	23	540	4.126754761	286.3895264
136	9.9504	6.29313	142	144	633	9.9504	6.29313	granitic	"GENTLE SLOPE, GRANITIC OUTCROP, MEDIUM TO FINE GRAINED DARK SOIL"	 	4.86	11.4	24.3	3.23	243	211	42	211	61.5	35.8	4.16	0.36	112	52	36.6	287	84.2	4.74	0.09	0.063	4.5	0.32	6.78	608	88.1	196	19.7	71.8	13.5	3.58	1.47	10.4	8.11	1.38	3.7	0.494	3.02	0.435	7.05	5.32	2.53	0.53	0.28	17.5	8.78	498	3404	146129	1522	12153	1503	20979	1346	123766	113	29	628	14.16812515	180
137	9.9955	6.28723	143	145	879	9.9955	6.28723	Pyroclastic material overlying granitic rocks	Dark to reddish-brown	"Top of a hill, Grazing land"	5.52	12.46	21	3.44	170	145	43.6	87.5	40.4	28.6	1.34	0.21	91	169	37.4	307	75.6	0.69	0.07	0.101	3.2	0.11	4.56	858	77.1	156	19.2	71.9	13.8	4.14	1.48	10.7	8.24	1.43	3.58	0.496	3.2	0.452	7.28	4.91	0.89	0.35	0.11	13.6	3.65	2261	14809	118858	2403	12445	3885	21552	1332	109256	115	14	871	6.060750008	212.4711914
138	10.03448	6.28688	144	146	577	10.03448	6.28688	Vesicular Basalts	Dark	"Valley, close to settlement"	5.32	14.31	30.5	3.58	158	119	36	91	40.8	28.7	2.43	0.52	168	110	31.1	154	47	2.37	0.06	0.081	5.3	0.23	6.46	674	87.4	183	20.1	74.3	13.3	2.75	1.32	9.63	7	1.14	2.81	0.376	2.22	0.31	3.9	3.19	1.17	0.92	0.27	28.8	7.79	1927	3949	113177	2040	21382	5280	12401	1592	80657	127	33	580	7.047952175	197.2414551
139	10.06843	6.28611	145	147	1026	10.06843	6.28611	Granitic	Dark-brown	"Slope of a hill, Forest/grazing land"	4.03	13.58	65.3	4.86	83	38	9.54	16.9	16.6	33	1.14	0.65	155	101	30.7	86	24.1	2.01	0.06	0.028	7	0.16	16.5	532	78.2	163	18.4	68.6	12.6	2.34	1.18	8.48	6.61	1.14	3.18	0.469	3.27	0.471	2.69	2.96	1.06	0.98	0.58	35.1	9.91	754	3059	132199	722	20853	463	4661	291	36512	64	47	1023	18.54464531	95.57219696
140	10.10573	6.28344	146	148	815	10.10573	6.28344	Granitic	Dark	"Steep slope, forest reserve. Sample taken 797m away from central point so as to be able to escape from a river and sample the bearing point"	4.66	10.76	37	3.88	93	31	16.5	15.2	38.1	26.7	0.7	0.38	238	184	25.4	67	15.8	0.74	0.06	0.165	4.4	0.09	7.03	850	51.2	112	10.9	41.4	7.88	1.27	0.882	5.96	5.23	0.935	2.55	0.347	2.16	0.285	2.1	0.955	1.34	1.03	0.18	20.7	2.44	12198	9890	106861	844	33199	10377	4837	1401	42669	101	30	819	26.29075241	94.25383759
141	10.15092	6.28687	147	149	1050	10.15092	6.28687	Granitic	Dark	Forest reserve	4.06	8.81	25.7	3.53	90	39	12.9	14.7	21.6	27	0.78	0.52	170	134	20.9	85	17.5	0.85	0.07	0.086	4.1	0.1	6.17	910	43.2	125	8.9	31.8	6.01	1.08	0.716	4.57	4.27	0.798	2.17	0.332	2.05	0.298	2.45	0.971	2.37	0.98	0.29	25	2.76	5460	5254	112019	527	34150	4490	5205	829	41644	77	32	1150	6.925774097	166.4295654
142	10.19527	6.28544	148	150	1227	10.19527	6.28544	granitic	"GRANITIC TERRAIN, DARK BROWN SOIL, FINE TO MEDIUM GRAIN"	 	4.74	14.88	26.8	2.81	102	57	15.4	28.6	38.3	29.9	1.21	0.73	140	139	15.9	120	18.5	1.75	0.03	0.072	5.5	0.14	5.24	885	72.8	228	15	51.9	8.66	1.63	0.719	5.22	3.82	0.665	1.76	0.253	1.61	0.235	3.35	1.29	1.23	0.74	0.23	31.1	4.92	1168	4578	123987	1063	27691	2253	6646	843	53933	91	38	1208	13.62896442	319.0856018
143	10.2286	6.28701	149	151	1449	10.2286	6.28701	granitic	"DARK BROWN FINE GRAINED SOIL , HILL SIDE SLOPE WITH BASALTIC FLOATES"	 	4.66	24.05	17.1	1.86	242	101	38.8	71.2	43.1	29.3	3.36	1.6	24	56	38	435	90.3	3.77	0.12	0.153	4	0.26	2.16	235	71.8	184	20.7	79.8	15.4	4.67	1.72	12.5	9.73	1.65	4.18	0.574	3.65	0.496	9.95	5.6	1.39	0.25	0.17	12.8	3.37	770	4312	113949	3265	3510	981	24496	1569	118127	129	17	1452	2.331610203	36.86989594
144	10.26727	6.28695	150	152	1567	10.26727	6.28695	granitic	"DARK BROWN SOIL , GENTLE SLOPE WITH BASALTIC FLOATES"	 	4.39	24.21	15	1.23	211	117	20.9	55.2	36.8	34	4.22	1.85	26	94	30.4	526	101	4.85	0.13	0.136	4.7	0.3	2.31	240	83.8	231	22.8	84.8	16.9	4.93	1.7	12.4	9.32	1.47	3.73	0.504	3.19	0.423	12.1	6.14	1.65	0.28	0.18	16.1	4.17	865	3135	130839	2858	3904	630	21038	833	127132	111	21	1578	5.304617405	232.1250153
145	10.07405	5.9084	151	0	1441	10.07405	5.9084	Granitic	Dark	"Slope, and grazing land, shrubs"	4.17	17.35	69.4	2.84	115	44	16.8	21.5	24.1	38.7	1.87	0.95	127	160	33.1	86	26	2.4	0.08	0.045	10.8	0.14	14	901	90.3	249	21.9	80	14.3	2.68	1.37	9.66	7.71	1.34	3.79	0.534	3.55	0.496	2.8	1.61	2.78	0.83	0.9	39.6	7.02	7107	10596	157669	744	21223	5513	7769	542	61925	102	38	1424	18.18106079	221.9872131
146	10.07489	5.90681	152	0	1442	10.07489	5.90681	granitic	Dark	"Slope of a hill, grazing land, shrubs"	4.11	17.57	51.4	1.4	96	39	14.9	23.5	39.4	38	1.39	0.85	116	71	18.6	102	20.8	1.85	0.06	0.024	8	0.26	9.76	714	59.6	171	15.7	58.4	11	2.17	0.926	6.98	5	0.844	2.23	0.314	2.05	0.3	3.18	1.2	3.61	0.71	0.89	31.1	4.19	2371	6257	157488	690	25021	1493	5727	375	54593	86	39	1444	20.50538063	345.5102234
147	10.07186	5.90479	153	0	1418	10.07186	5.90479	Granitic	Dark	"Gentle slope, shrubs, grazing land"	0	21.85	47.4	2.2	91	64	10.9	32.5	43.6	35.2	1.98	0.86	136	106	16.4	136	22.6	1.98	0.09	0.062	6.8	0.19	8.69	1019	48.3	128	12.3	45.4	8.36	1.74	0.771	5.63	4.27	0.683	1.81	0.246	1.61	0.231	3.94	1.49	2.45	0.64	0.5	27.5	4.19	4001	7332	149273	1123	29068	3440	6015	403	53379	81	40	1410	9.793372154	225
148	10.06849	5.9078	154	0	1429	10.06849	5.9078	Granitic	Dark-brown	"Grassfield with shrubs,"	4.35	17.65	29.4	1.71	118	59	14.2	30.1	31.3	36.7	1.57	0.74	76	54	19.9	134	28.3	2.08	0.06	0.019	8	0.13	6.17	606	63.8	173	15.9	56.4	10.7	2.13	0.99	7.01	5.69	0.96	2.59	0.38	2.49	0.338	3.93	1.84	4.49	0.49	0.57	21.8	4.43	885	3462	153227	1003	18152	848	9048	353	75847	68	46	1424	8.345309258	33.69006729
149	10.06932	5.91221	155	0	1352	10.06932	5.91221	Granitic	Dark	"Gentle slope, grazing land"	4	16.53	27.2	1.19	81	93	11.6	36.7	20.9	33	1.45	0.79	87	124	12.8	125	17.8	1.83	0.09	0.036	6.2	0.13	5.83	1167	80.1	212	18.1	64.5	10.3	2.28	0.702	5.51	3.76	0.592	1.55	0.22	1.57	0.224	3.63	1.43	1.43	0.53	0.62	21.9	3.27	1573	3822	148808	727	27561	913	5539	210	47096	47	47	1351	8.489635468	287.4471741
